time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-01-07T00:41:57.340Z,26.841,56.16,10,4.3,mb,64,107.9,,0.78,us,usp000jy08,2014-11-07T01:49:47.279Z,"16 km SW of Qeshm, Iran",earthquake,,,,24,reviewed,us,us
2022-07-02T09:15:45.412Z,26.8408,54.961,10,4.4,mb,65,39,2.194,0.43,us,us6000hzd2,2022-07-02T18:07:52.558Z,"32 km NNE of Bandar-e Lengeh, Iran",earthquake,6.5,1.8,0.079,48,reviewed,us,us
2019-05-13T08:09:10.812Z,26.8401,55.2477,35,4.3,mb,,72,2.074,0.83,us,us70003k9a,2019-08-01T17:15:16.040Z,"48 km NE of Bandar-e Lengeh, Iran",earthquake,6.9,2,0.093,33,reviewed,us,us
2021-01-30T17:23:27.207Z,26.84,53.9755,10,4.2,mb,,76,2.754,0.79,us,us6000dd9y,2021-04-16T19:02:32.040Z,"31 km N of K?sh, Iran",earthquake,7.1,1.9,0.079,51,reviewed,us,us
2013-03-28T19:53:28.700Z,26.832,54.546,9,4.3,mb,35,84.9,,,us,usb000g2ny,2014-11-07T01:50:24.134Z,"45 km NW of Bandar-e Lengeh, Iran",earthquake,,,,6,reviewed,teh,us
2012-09-13T08:01:43.000Z,26.828,53.863,18,4.4,mb,63,77.5,,,us,usp000js8w,2014-11-07T01:48:51.211Z,"33 km NNW of K?sh, Iran",earthquake,,,,21,reviewed,teh,us
2022-07-01T22:07:46.745Z,26.8209,55.129,10,4.2,mb,63,42,2.104,0.89,us,us6000hz98,2022-07-02T04:12:16.810Z,"38 km NE of Bandar-e Lengeh, Iran",earthquake,6.4,1.7,0.077,47,reviewed,us,us
2021-01-15T23:24:21.052Z,26.8188,55.1959,10,4.4,mb,,113,2.075,1.04,us,us7000d0ik,2021-03-27T21:04:42.040Z,"42 km NE of Bandar-e Lengeh, Iran",earthquake,5.7,1.9,0.105,26,reviewed,us,us
2014-04-29T11:31:13.000Z,26.81,53.92,25,4.5,mb,,,,1.28,us,usb000q3lh,2014-07-14T20:11:23.000Z,"29 km NNW of K?sh, Iran",earthquake,,4.8,0.094,34,reviewed,teh,us
2020-07-25T17:47:13.227Z,26.7806,56.334,10,4,mb,,70,1.831,1.38,us,us6000b6nx,2020-10-03T17:32:32.040Z,"19 km SSE of Qeshm, Iran",earthquake,9.3,1.9,0.1,30,reviewed,us,us
2014-05-31T16:53:29.000Z,26.78,53.92,23,3.9,mb,,,,1.04,us,usc000r9hj,2014-08-26T01:21:06.000Z,"26 km NNW of K?sh, Iran",earthquake,,4.8,0.193,7,reviewed,teh,us
2022-06-24T01:27:29.339Z,26.7781,53.8688,10,4.1,mb,,86,2.785,0.64,us,us7000hjt1,2022-06-24T01:46:59.040Z,"28 km NNW of K?sh, Iran",earthquake,8.8,2,0.103,26,reviewed,us,us
2011-10-19T00:58:03.600Z,26.776,53.752,14.1,4.4,mb,64,119.4,,,us,usp000j9hg,2014-11-07T01:46:07.838Z,"35 km NW of K?sh, Iran",earthquake,,,,12,reviewed,teh,us
2022-06-22T02:38:53.212Z,26.7734,54.3449,10,4.2,mb,,77,2.473,0.56,us,us7000hj61,2022-06-29T01:13:48.663Z,"40 km NE of K?sh, Iran",earthquake,5.5,1.8,0.108,24,reviewed,us,us
2014-05-30T09:26:16.000Z,26.76,53.92,16,4.6,mb,,,,0.93,us,usc000r90l,2014-08-26T01:21:04.000Z,"24 km NNW of K?sh, Iran",earthquake,,3.4,0.059,87,reviewed,teh,us
2019-07-22T22:59:02.026Z,26.759,55.0084,10,5,mww,,69,2.103,0.7,us,us70004qwn,2019-10-04T16:37:39.040Z,"25 km NNE of Bandar-e Lengeh, Iran",earthquake,7.7,1.8,0.086,13,reviewed,us,us
2020-06-27T05:58:37.546Z,26.752,55.8163,10,4.1,mb,,121,1.832,0.46,us,us7000ah90,2020-09-05T17:35:41.040Z,"50 km WSW of Qeshm, Iran",earthquake,9.3,1.9,0.123,18,reviewed,us,us
2014-04-25T20:59:47.770Z,26.7507,53.8664,11.16,5,mb,,30,2.769,0.87,us,usb000pzyv,2022-05-03T16:48:45.636Z,"26 km NW of K?sh, Iran",earthquake,,3.6,0.045,160,reviewed,us,us
2014-01-09T08:31:29.800Z,26.75,53.95,15,5,mb,,,,1.08,us,usc000lz8y,2022-05-03T16:37:27.627Z,"22 km NNW of K?sh, Iran",earthquake,,2.4,0.052,117,reviewed,thr,us
2014-01-09T06:13:03.800Z,26.742,53.95,16,4.3,mb,,,,1.02,us,usc000lz87,2014-03-15T03:38:43.000Z,"21 km NNW of K?sh, Iran",earthquake,,4.9,0.1,30,reviewed,teh,us
2011-09-23T22:12:40.600Z,26.742,55.844,21.8,4,mb,11,171.3,,,us,usp000j8fv,2014-11-07T01:45:56.818Z,"48 km WSW of Qeshm, Iran",earthquake,,,,5,reviewed,teh,us
2014-01-10T14:30:41.000Z,26.74,53.99,9,4.3,mb,,,,1.18,us,usb000m7f0,2014-03-15T03:38:59.000Z,"20 km N of K?sh, Iran",earthquake,,4.7,0.178,9,reviewed,teh,us
2010-01-13T10:22:13.170Z,26.737,53.567,10,4.8,mb,86,98.3,,0.91,us,usp000h62k,2014-11-07T01:40:27.426Z,"49 km WNW of K?sh, Iran",earthquake,,,,15,reviewed,us,us
2022-07-02T01:14:53.557Z,26.7337,55.2378,10,4.2,mb,14,113,1.982,1.07,us,us6000hzaj,2022-07-02T02:01:47.353Z,"40 km ENE of Bandar-e Lengeh, Iran",earthquake,9.7,1.9,0.137,15,reviewed,us,us
2019-11-06T08:37:24.231Z,26.7301,55.1342,10,4.5,mb,,58,2.022,1.16,us,us700063w2,2020-02-01T23:21:40.040Z,"31 km NE of Bandar-e Lengeh, Iran",earthquake,7.2,1.9,0.096,32,reviewed,us,us
2015-07-03T12:37:36.000Z,26.73,54.86,11,3.8,mb,,,,1.38,us,us20002yxl,2015-09-30T00:20:53.040Z,"19 km N of Bandar-e Lengeh, Iran",earthquake,4,5.6,0.208,6,reviewed,teh,us
2014-01-11T21:02:23.580Z,26.7274,53.8482,10,4.1,mb,,120,2.767,0.85,us,usb000m8ru,2014-03-15T03:39:13.000Z,"25 km NW of K?sh, Iran",earthquake,,1.8,0.117,20,reviewed,us,us
2011-11-20T07:20:16.600Z,26.727,55.35,38.5,4.3,mb,28,108.3,,,us,usp000jb55,2014-11-07T01:46:23.185Z,"50 km ENE of Bandar-e Lengeh, Iran",earthquake,,,,16,reviewed,thr,us
2022-06-25T03:37:13.976Z,26.7253,54.2613,10,5.6,mww,,42,2.491,0.83,us,us7000hk3w,2022-07-01T22:02:12.469Z,"30 km NE of K?sh, Iran",earthquake,7.2,1.8,0.071,19,reviewed,us,us
2014-11-13T00:39:02.100Z,26.724,53.921,12,4.8,mb,,,,0.81,us,usc000swt6,2015-02-12T01:42:37.040Z,"20 km NNW of K?sh, Iran",earthquake,5.9,3.7,0.064,81,reviewed,teh,us
2014-07-26T10:48:39.700Z,26.724,57.192,9,3.8,mb,,,,0.72,us,usb000s0ry,2014-10-25T01:49:38.000Z,"46 km SSE of M?n?b, Iran",earthquake,,5.4,0.208,9,reviewed,teh,us
2014-04-26T12:48:20.600Z,26.714,53.932,13.2,4.2,mb,,,,0.78,us,usb000qqyd,2014-07-14T20:11:19.000Z,"19 km NNW of K?sh, Iran",earthquake,,4.8,0.159,13,reviewed,teh,us
2022-06-18T00:03:05.014Z,26.7099,54.2317,10,4,mb,44,79,2.499,0.57,us,us7000hi9g,2022-07-02T23:13:03.040Z,"27 km NE of K?sh, Iran",earthquake,6.4,1.7,0.09,33,reviewed,us,us
2022-06-16T00:26:01.384Z,26.7059,54.2298,10,4,mb,,116,2.498,0.65,us,us7000hj0x,2022-06-23T02:28:35.040Z,"26 km NE of K?sh, Iran",earthquake,9.4,1.9,0.122,18,reviewed,us,us
2022-06-16T23:48:06.456Z,26.6947,54.235,10,4.2,mb,,44,2.486,0.65,us,us7000hhzq,2022-06-27T02:30:41.040Z,"26 km NE of K?sh, Iran",earthquake,4.9,1.9,0.073,52,reviewed,us,us
2022-06-15T18:23:07.550Z,26.6905,54.2244,10,4,mb,,116,2.49,1.2,us,us7000his6,2022-06-21T14:46:16.040Z,"25 km NE of K?sh, Iran",earthquake,10.2,1.9,0.129,16,reviewed,us,us
2014-01-10T08:12:42.900Z,26.69,53.91,10,4.5,mb,,,,1.01,us,usc000lzvg,2015-01-30T23:22:46.206Z,"18 km NW of K?sh, Iran",earthquake,,3.6,0.077,49,reviewed,teh,us
2022-06-15T06:06:03.165Z,26.6859,54.1869,10,5.5,mww,,56,2.512,0.97,us,us7000hhhc,2022-06-19T04:15:59.570Z,"21 km NE of K?sh, Iran",earthquake,7.2,1.8,0.061,26,reviewed,us,us
2022-06-15T14:26:17.374Z,26.6795,54.2001,10,4.4,mb,,117,2.499,0.57,us,us7000hhjd,2022-06-22T13:17:26.040Z,"22 km NE of K?sh, Iran",earthquake,4.1,1.9,0.082,42,reviewed,us,us
2022-06-15T06:04:39.664Z,26.674,54.1822,10,4.7,mb,,78,2.507,0.92,us,us7000hhhb,2022-06-15T06:30:28.040Z,"20 km NE of K?sh, Iran",earthquake,7.8,1.3,0.06,85,reviewed,us,us
2022-06-15T06:15:41.766Z,26.6727,54.2211,10,4.5,mb,,75,2.48,0.95,us,us7000hirf,2022-06-22T06:09:31.040Z,"23 km ENE of K?sh, Iran",earthquake,3.8,1.9,0.092,35,reviewed,us,us
2022-06-16T00:40:48.001Z,26.671,54.353,10,4.6,mb,,74,2.395,0.45,us,us7000hhp7,2022-06-24T02:53:39.040Z,"35 km ENE of K?sh, Iran",earthquake,7.3,1.8,0.055,98,reviewed,us,us
2022-06-24T13:32:27.379Z,26.6697,54.22,10,4.3,mb,42,80,2.479,0.3,us,us6000hyl5,2022-07-01T07:28:57.040Z,"23 km ENE of K?sh, Iran",earthquake,7.1,1.9,0.098,30,reviewed,us,us
2020-01-24T18:31:25.773Z,26.6604,55.3366,10,4.2,mb,,74,1.878,0.84,us,us60007pjt,2020-04-11T18:21:11.040Z,"46 km ENE of Bandar-e Lengeh, Iran",earthquake,4.9,1.9,0.159,16,reviewed,us,us
2022-06-15T06:48:54.090Z,26.6526,54.2431,10,4.9,mb,,76,2.452,0.72,us,us7000hhhk,2022-06-15T07:37:32.928Z,"24 km ENE of K?sh, Iran",earthquake,8,1.8,0.055,102,reviewed,us,us
2022-06-15T13:16:41.087Z,26.6467,54.2489,10,4.4,mb,,73,2.444,0.45,us,us7000hhiz,2022-06-22T12:30:52.040Z,"24 km ENE of K?sh, Iran",earthquake,8.1,1.9,0.065,69,reviewed,us,us
2022-06-18T16:44:48.852Z,26.6409,54.1919,10,4.9,mb,,76,2.478,0.84,us,us7000hied,2022-06-19T03:52:30.717Z,"19 km ENE of K?sh, Iran",earthquake,4.6,1.8,0.052,118,reviewed,us,us
2022-06-15T05:59:21.953Z,26.6363,54.2647,10,4.6,mb,,75,2.427,1,us,us7000hhha,2022-06-15T06:55:10.040Z,"25 km ENE of K?sh, Iran",earthquake,8.5,1.9,0.073,55,reviewed,us,us
2017-08-06T09:24:39.360Z,26.6317,55.428,10,3.9,mb,,113,1.819,1.17,us,us2000a6va,2017-10-25T00:38:00.040Z,"55 km E of Bandar-e Lengeh, Iran",earthquake,10.6,1.9,0.17,9,reviewed,us,us
2022-06-15T20:58:12.809Z,26.6284,54.2253,10,4.2,mb,,76,2.447,1.33,us,us7000hhma,2022-06-21T15:22:52.040Z,"21 km ENE of K?sh, Iran",earthquake,6,1.9,0.11,23,reviewed,us,us
2022-06-20T02:38:27.791Z,26.6211,54.1969,10,4.3,mb,,90,2.461,0.71,us,us7000hjx6,2022-06-28T01:13:06.040Z,"19 km ENE of K?sh, Iran",earthquake,6.6,2,0.168,10,reviewed,us,us
2022-06-15T23:52:06.819Z,26.6164,54.259,10,4,mb,,118,2.417,0.74,us,us7000hhnx,2022-06-23T02:09:41.040Z,"24 km ENE of K?sh, Iran",earthquake,5.5,1.9,0.139,14,reviewed,us,us
2022-06-21T07:05:05.247Z,26.6153,54.1729,10,4.3,mb,,84,2.473,1.03,us,us7000hiy7,2022-06-28T12:22:02.040Z,"16 km ENE of K?sh, Iran",earthquake,10.3,1.9,0.142,14,reviewed,us,us
2022-06-16T00:23:02.819Z,26.6148,54.2823,10,4.4,mb,,76,2.401,0.38,us,us7000hhp4,2022-06-23T02:21:25.040Z,"26 km ENE of K?sh, Iran",earthquake,8.2,1.9,0.068,61,reviewed,us,us
2022-06-18T17:01:43.623Z,26.6139,54.184,10,4.4,mb,,79,2.465,1.17,us,us7000hiej,2022-06-18T20:21:59.040Z,"17 km ENE of K?sh, Iran",earthquake,6.6,1.9,0.068,63,reviewed,us,us
2016-01-04T03:05:48.070Z,26.6051,55.4464,10,4.4,mb,,42,0.834,0.98,us,us10004b41,2016-03-28T22:09:35.040Z,"56 km E of Bandar-e Lengeh, Iran",earthquake,3.5,1.9,0.084,41,reviewed,us,us
2022-06-17T13:08:37.691Z,26.6036,54.2059,10,4.3,mb,,77,2.443,0.58,us,us7000hi3t,2022-06-27T06:08:20.040Z,"19 km ENE of K?sh, Iran",earthquake,8.2,1.9,0.077,48,reviewed,us,us
2019-10-18T04:09:39.062Z,26.594,55.1051,10,4.2,mb,,104,1.917,1.2,us,us70005v9x,2020-01-03T16:09:27.040Z,"22 km E of Bandar-e Lengeh, Iran",earthquake,7.3,1.9,0.121,19,reviewed,us,us
2014-02-01T11:43:25.200Z,26.58,53.9,10,4.1,mb,,,,0.44,us,usc000mqmy,2014-04-08T01:43:20.000Z,"12 km WNW of K?sh, Iran",earthquake,,1.9,0.151,13,reviewed,teh,us
2016-01-01T23:17:29.490Z,26.5711,55.1188,10,4.3,mb,,107,1.891,0.54,us,us10004ddg,2016-03-28T22:09:32.040Z,"23 km E of Bandar-e Lengeh, Iran",earthquake,10.7,2,0.154,12,reviewed,us,us
2022-06-15T11:50:32.167Z,26.5655,54.1404,10,4.4,mb,44,120,2.463,0.65,us,us7000hhij,2022-07-02T07:39:56.040Z,"12 km E of K?sh, Iran",earthquake,6.8,1.8,0.095,32,reviewed,us,us
2022-06-14T14:09:43.093Z,26.5651,54.1698,10,4.7,mb,,78,2.442,0.77,us,us7000hhbb,2022-06-19T19:32:03.040Z,"15 km E of K?sh, Iran",earthquake,7.6,1.9,0.068,69,reviewed,us,us
2022-06-15T05:55:01.691Z,26.5607,54.1625,10,4.7,mb,,80,2.444,1.34,us,us7000hhh9,2022-06-15T06:58:44.983Z,"14 km E of K?sh, Iran",earthquake,8,1.9,0.066,70,reviewed,us,us
2013-09-17T16:19:40.710Z,26.5581,55.7239,10,4.2,mb,,113,4.229,1.02,us,usb000jyf7,2013-12-09T21:11:07.000Z,"66 km NW of Dib Dibba, Oman",earthquake,,1.8,0.176,,reviewed,us,us
2020-03-04T15:36:18.398Z,26.5534,55.4804,10,4.2,mb,,83,1.729,0.76,us,us600089fa,2020-05-23T22:03:30.040Z,"59 km E of Bandar-e Lengeh, Iran",earthquake,4.7,1.9,0.096,30,reviewed,us,us
2022-06-15T18:07:50.679Z,26.5445,54.222,10,4,mb,,120,2.394,0.97,us,us7000hhl5,2022-06-21T14:27:16.040Z,"20 km E of K?sh, Iran",earthquake,7.8,1.9,0.125,17,reviewed,us,us
2014-05-27T05:44:29.700Z,26.543,55.905,14.3,5.1,mb,,,,1.23,us,usb000r505,2022-05-03T16:52:13.424Z,"51 km NW of Dib Dibba, Oman",earthquake,,3.3,0.052,123,reviewed,teh,us
2015-08-27T00:24:22.000Z,26.541,55.877,11,4.2,mb,,,,1.38,us,us10003573,2015-12-01T00:35:57.040Z,"53 km NW of Dib Dibba, Oman",earthquake,4.6,3.6,0.14,14,reviewed,teh,us
2013-05-14T13:43:00.640Z,26.529,57.431,10,4,mb,22,102.5,,1.2,us,us2013qecz,2014-11-07T01:50:48.252Z,"74 km SSE of M?n?b, Iran",earthquake,,0,,4,reviewed,us,us
2022-06-15T09:37:48.555Z,26.516,54.1052,10,4.1,mb,37,122,2.455,0.53,us,us7000hhi3,2022-07-02T07:05:59.166Z,"9 km ESE of K?sh, Iran",earthquake,6.2,1.9,0.107,24,reviewed,us,us
2022-06-24T23:47:23.914Z,26.4942,54.1624,10,4.1,mb,31,122,2.402,0.32,us,us7000hk35,2022-07-02T22:51:35.299Z,"15 km ESE of K?sh, Iran",earthquake,8.5,1.7,0.12,19,reviewed,us,us
2022-06-15T14:32:13.900Z,26.4707,54.2449,10,4.1,mb,,121,2.33,0.36,us,us7000hirw,2022-06-22T13:47:07.040Z,"24 km ESE of K?sh, Iran",earthquake,10.1,1.9,0.157,11,reviewed,us,us
2014-11-23T13:17:59.900Z,26.47,56.59,16,4.9,mb,,,,0.92,us,usb000szau,2015-02-18T03:30:55.040Z,"44 km NE of Dib Dibba, Oman",earthquake,4.5,3.4,0.047,145,reviewed,thr,us
2014-02-02T14:46:41.770Z,26.4447,57.3909,10,4,mb,,123,1.837,1.08,us,usc000msqe,2014-04-08T01:43:23.000Z,"81 km SSE of M?n?b, Iran",earthquake,,1.9,0.3,5,reviewed,us,us
2015-04-27T05:34:31.500Z,26.42,53.568,20,4.8,mb,,,,0.85,us,us200029j2,2015-07-03T00:23:43.040Z,"47 km WSW of K?sh, Iran",earthquake,7.1,4.1,0.052,114,reviewed,teh,us
2022-06-25T03:43:59.875Z,26.4087,54.293,10,4.6,mb,18,165,2.257,0.59,us,us6000hyst,2022-07-01T22:41:00.188Z,"31 km ESE of K?sh, Iran",earthquake,13.6,1.9,0.274,5,reviewed,us,us
2013-05-12T00:06:59.800Z,26.404,57.522,17.6,5.5,mwb,298,29.2,,,us,usc000guh1,2022-05-03T16:17:55.677Z,"91 km SSE of M?n?b, Iran",earthquake,,,,,reviewed,thr,us
2010-11-14T14:49:27.430Z,26.398,57.223,10,4.5,mb,26,140.6,,0.95,us,usp000hpm6,2014-11-07T01:42:55.128Z,"82 km S of M?n?b, Iran",earthquake,,0,,4,reviewed,us,us
2014-07-30T01:32:10.330Z,26.3803,53.5163,12.46,5.3,mwb,,36,1.006,0.77,us,usb000ryha,2022-05-03T17:42:42.228Z,"53 km WSW of K?sh, Iran",earthquake,,3,0.05,38,reviewed,us,us
2020-07-25T17:48:01.465Z,26.3572,56.4855,10,4,mb,,143,1.428,1.13,us,us7000bdal,2020-10-03T17:32:42.040Z,"28 km NE of Dib Dibba, Oman",earthquake,9.4,1.9,0.102,27,reviewed,us,us
2022-06-16T04:44:49.320Z,26.3419,54.4549,10,4.2,mb,,205,8.595,0.45,us,us7000hj0w,2022-06-22T03:09:43.040Z,"48 km WSW of Bandar-e Lengeh, Iran",earthquake,13.4,2,0.159,11,reviewed,us,us
2014-08-16T12:52:36.700Z,26.3,53.63,10,4.2,mb,,,,0.72,us,usc000s7mw,2014-11-15T04:07:11.000Z,"48 km SW of K?sh, Iran",earthquake,,4.5,0.153,14,reviewed,teh,us
2014-07-30T15:11:39.360Z,26.2818,53.5209,10,4.3,mb,,140,2.764,0.6,us,usb000s1up,2014-10-29T19:52:49.000Z,"58 km WSW of K?sh, Iran",earthquake,,1.9,0.142,17,reviewed,us,us
2014-07-31T20:07:35.180Z,26.2217,53.7412,10,4.2,mb,,146,2.561,0.98,us,usb000s24z,2014-10-29T19:52:52.000Z,"46 km SW of K?sh, Iran",earthquake,,2,0.305,3,reviewed,us,us
2019-10-31T15:43:59.157Z,26.158,54.7286,10,5,mb,,45,1.798,1.01,us,us700061lx,2020-01-18T20:00:50.040Z,"46 km SSW of Bandar-e Lengeh, Iran",earthquake,6.4,1.8,0.042,179,reviewed,us,us
2019-11-04T00:18:40.970Z,26.1262,54.6997,10,4.2,mb,,89,1.797,0.79,us,us700062rd,2020-01-18T20:00:57.040Z,"51 km SSW of Bandar-e Lengeh, Iran",earthquake,7.9,1.9,0.091,34,reviewed,us,us
2019-11-04T00:45:21.541Z,26.0591,54.7317,10,4.1,mb,,126,1.732,0.72,us,us700062rg,2020-01-18T20:00:57.040Z,"57 km SSW of Bandar-e Lengeh, Iran",earthquake,7.6,2,0.14,14,reviewed,us,us
2012-10-21T16:13:22.880Z,25.114,56.138,25.1,4.5,mb,32,102.8,,0.95,us,usp000ju98,2015-03-24T02:26:12.907Z,"11 km WSW of Reef Al Fujairah City, United Arab Emirates",earthquake,,7.3,,2,reviewed,us,us
2010-08-22T15:48:27.970Z,23.706,49.156,10,4,mb,26,91.5,,1.15,us,usp000hjmc,2014-11-07T01:42:17.222Z,"188 km SSW of Al Huf?f, Saudi Arabia",earthquake,,,,5,reviewed,us,us
2015-01-29T19:12:25.540Z,23.6431,49.1942,14.17,4.2,mb,,188,3.388,0.62,us,usc000tk5g,2015-05-02T14:05:39.040Z,"194 km SSW of Al Huf?f, Saudi Arabia",earthquake,10,6.7,0.113,24,reviewed,us,us